Altium Designer Pick and Place Locations
D:\Synology Drive\IRNAS-Projects\SmartParks\Smartparks - Fence monitor\Electronics\04_OUTPUT_FILES\Fence monitor_V1.1_PICK & PLACE\Fence monitor_V1.1_PICK & PLACE.csv

========================================================================================================================
File Design Information:

Date:       13/08/20
Time:       09:20
Revision:   Not in VersionControl
Variant:    BASIC
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"D7","SOD-323","9.1289","35.0898","9.1289","35.0898","9.1289","36.1648","BottomLayer","360","uClamp3301D"
"R44","RES0402","9.6989","42.3998","9.6989","42.3998","9.1989","42.3998","BottomLayer","180","100R"
"R43","RES0402","9.7089","40.1298","9.7089","40.1298","9.2089","40.1298","BottomLayer","180","47R"
"R42","RES0402","9.7089","37.8698","9.7089","37.8698","9.2089","37.8698","BottomLayer","180","47R"
"R41","RES0402","9.2689","32.1298","9.2689","32.1298","8.7689","32.1298","BottomLayer","180","100R"
"C16","CAP0402","19.1889","21.0498","19.1889","21.0498","19.1889","21.5298","BottomLayer","270","100nF"
"C15","CAP0402","17.9089","21.0498","17.9089","21.0498","17.9089","21.5298","BottomLayer","270","10nF"
"C14","CAP0402","17.4189","19.4798","17.4189","19.4798","16.9389","19.4798","BottomLayer","180","1nF"
"U2","SOIC-8_REFLOW","21.0989","15.8998","21.0989","15.8998","19.1939","13.2998","BottomLayer","180","TLV9052IDR"
"U1","VSSOP-10","12.8289","19.0998","12.8289","19.0998","15.0289","18.0998","BottomLayer","90","ADS1015IDGST"
"T4","SOT_23","17.7689","23.8298","17.7689","23.8298","18.9689","22.8798","BottomLayer","90","BC847B"
"T2","SOT_23","12.9089","15.1598","12.9089","15.1598","14.1089","14.2098","BottomLayer","90","BC847B"
"T1","VMT6","7.5989","13.5498","7.5989","13.5498","7.1689","13.0498","BottomLayer","180","VT6M1T2CR"
"R34","RES0402","20.3589","23.8098","20.3589","23.8098","20.3589","23.3098","BottomLayer","90","2R2"
"R33","RES0402","21.4789","23.8098","21.4789","23.8098","21.4789","24.3098","BottomLayer","270","47k"
"R32","RES0402","17.3089","17.2598","17.3089","17.2598","16.8089","17.2598","BottomLayer","180","22k"
"R30","RES0603","26.4989","20.8498","26.4989","20.8498","26.4989","20.0998","BottomLayer","90","150R"
"R28","RES0402","23.0489","22.1998","23.0489","22.1998","22.5489","22.1998","BottomLayer","180","47k"
"R27","RES0402","20.4689","21.2598","20.4689","21.2598","20.4689","20.7598","BottomLayer","90","10R"
"R26","RES0402","23.0489","21.1098","23.0489","21.1098","22.5489","21.1098","BottomLayer","180","47k"
"R25","RES0603","26.4989","23.8498","26.4989","23.8498","26.4989","23.0998","BottomLayer","90","11k?"
"R20","RES0603","26.4989","26.8998","26.4989","26.8998","26.4989","26.1498","BottomLayer","90","11k?"
"R17","RES0402","17.8389","15.6198","17.8389","15.6198","17.8389","16.1198","BottomLayer","270","47k"
"R16","RES0402","24.5989","19.4998","24.5989","19.4998","24.0989","19.4998","BottomLayer","180","22k"
"R15","RES0402","13.4189","12.9698","13.4189","12.9698","13.9189","12.9698","BottomLayer","360","2R2"
"R14","RES0603","26.4989","29.8998","26.4989","29.8998","26.4989","29.1498","BottomLayer","90","11k?"
"R11","RES0402","15.5189","15.6398","15.5189","15.6398","15.5189","16.1398","BottomLayer","270","47k"
"R8","RES0402","15.9689","14.0698","15.9689","14.0698","16.4689","14.0698","BottomLayer","360","10R"
"R7","RES0402","7.7289","12.1589","7.7289","12.1589","7.2289","12.1589","BottomLayer","180","1M/0402"
"R6","RES0402","5.9689","14.4598","5.9689","14.4598","5.9689","14.9598","BottomLayer","270","100R"
"R4","RES0402","7.5389","15.0498","7.5389","15.0498","7.0389","15.0498","BottomLayer","180","100k"
"R1","RES0402","11.4289","24.0298","11.4289","24.0298","11.9289","24.0298","BottomLayer","360","0R"
"P1","IRNAL_LION_ADDON","6.8989","37.1298","6.8989","37.1298","6.8989","32.1298","BottomLayer","90","IRNAS - LION_EXTENSION"
